bioguide_id,first_name,last_name,full_name,date_of_birth,age,age_pretty,assumed_office,tenure_months,tenure_years,tenure_pretty,chamber,given_name,middle_name,family_name,nick_name,unaccented_given_name,unaccented_middle_name,unaccented_family_name,honorific_prefix,honorific_suffix,military_service,has_military_service,profile_birthplace,profile_education
R000617,Delia,Ramirez,Delia Ramirez,6/2/83,42,"42 years, 4 months",1/3/23,32,2.67,"2 years, 8 months",Delia,,Ramirez,,Delia,,Ramirez,,,,,,"Chicago, Cook County, Ill","graduated from St. Gregory High School, Chicago, Ill., 2001; B.A., Northeastern Illinois University, Chicago, Ill.",
R000621,Emily,Randall,Emily Randall,10/3/85,39,"40 years",1/3/25,8,0.67,8 months,Emily,,Randall,,Emily,,Randall,,,,,,"Port Orchard, Kitsap County, Wash","graduated from South Kitsap High School, Port Orchard, Wash., 2004; B.A., Wellesley College, Wellesley, Mass., 2008; staff, Wellesley College, Wellesley, Mass., 2010-2015",
R000606,Jamie,Raskin,Jamie Raskin,12/13/62,62,"62 years, 10 months",1/3/17,104,8.67,"8 years, 8 months",Jamie,Ben,Raskin,,Jamie,Ben,Raskin,,,,,,"Washington, D.C","graduated from Georgetown Day High School, Washington, D.C., 1979; A.B., Harvard College, Cambridge, Mass., 1983; J.D. Harvard University, Cambridge, Mass., 1987; professor, American University Washington College of Law, Washington, D.C., 1990-2017",
R000122,Jack,Reed,Jack Reed,11/12/49,75,"75 years, 11 months",1/3/97,344,28.67,"28 years, 8 months",John,F.,Reed,Jack,John,F.,Reed,,,,,,"Providence, R.I","attended St. Matthew's Elementary School, Cranston, R.I.; graduated, LaSalle Academy, Providence, R.I., 1967; B.S., United States Military Academy, West Point 1971; M.P.P., Kennedy School of Government, Harvard University 1973; J.D., Harvard Law School 1982; associate professor, Department of Social Sciences, U.S. Military Academy 1977-1979",
R000610,Guy,Reschenthaler,Guy Reschenthaler,4/17/83,42,"42 years, 5 months",1/3/19,80,6.67,"6 years, 8 months",Guy,,Reschenthaler,,Guy,,Reschenthaler,,,,Navy,Yes,"Pittsburgh, Allegheny County, Pa","graduated from Thomas Jefferson High School, Jefferson Hills, Pa., 2001; B.A., Behrend College, Pennsylvania State University, Erie, Pa., 2004; J.D., Duquesne University, Pittsburgh, Pa., 2007",
R000618,Pete,Ricketts,Pete Ricketts,8/19/64,61,"61 years, 1 months",1/12/23,32,2.67,"2 years, 8 months",John,Peter,Ricketts,Pete,John,Peter,Ricketts,,,,,,"Nebraska City, Nebr","graduated Westside High School, Omaha, Nebr., 1982; B.A., biology, University of Chicago, 1986; M.B.A., marketing and finance, University of Chicago, 1991",
R000622,Josh,Riley,Josh Riley,1/21/81,44,"44 years, 8 months",1/3/25,8,0.67,8 months,Josh,,Riley,,Josh,,Riley,,,,,,"Endicott, Broome County, N.Y","graduated from Union-Endicott High School, Endicott, N.Y.; B.A., College of William and Mary, Williamsburg, Va., 2003; J.D., Harvard University, Cambridge, Mass., 2007; law clerk, United States Court of Appeals, Ninth Circuit",
R000584,Jim,Risch,Jim Risch,5/3/43,82,"82 years, 5 months",1/3/09,200,16.67,"16 years, 8 months",James,,Risch,,James,,Risch,,,,,,"Milwaukee, Wis","B.A., attended the University of Wisconsin, Milwaukee, 1961-1963; B.S. in Forestry, University of Idaho, 1965; J.D., University of Idaho College of Law, 1968",
R000620,Luz,Rivas,Luz Rivas,2/6/74,51,"51 years, 8 months",1/3/25,8,0.67,8 months,Luz,M.,Rivas,,Luz,M.,Rivas,,,,,,"Los Angeles, Los Angeles County, Calif","graduated from San Fernando High School, San Fernando, Calif., 1991; B.S., Massachusetts Institute of Technology, Cambridge, Mass., 1995; Ed.M., Harvard University, Cambridge, Mass., 2003; staff, California Institute of Technology, Pasadena, Calif., 2006-2010",
M001237,Kristen McDonald,Rivet,Kristen McDonald Rivet,7/11/70,55,"55 years, 3 months",1/3/25,8,0.67,8 months,Kristen,,McDonald Rivet,,Kristen,,McDonald Rivet,,,,,,"Portland, Ionia County, Mich","graduated from Portland High School, Portland, Mich., 1988; B.A., Michigan State University, East Lansing, Mich., 1992; M.P.A, University of Michigan Flint, Flint, Mich., 2010; staff, Michigan department of education, 2006-2007",
R000575,Mike,Rogers,Mike Rogers,7/16/58,67,"67 years, 2 months",1/3/03,272,22.67,"22 years, 8 months",Michael,Dennis,Rogers,,Michael,Dennis,Rogers,,,,,,"Hammond, Lake County, Ind","graduated from Saks High School, Anniston, Ala., 1976; B.A., Jacksonville State University, Jacksonville, Ala., 1981; M.P.A., Jacksonville State University, Jacksonville, Ala., 1984; J.D., Birmingham School of Law, Birmingham, Ala., 1991",
R000395,Hal,Rogers,Hal Rogers,12/31/37,87,"87 years, 9 months",1/3/81,536,44.67,"44 years, 8 months",Harold,Dallas,Rogers,Hal,Harold,Dallas,Rogers,,,,Kentucky Army National Guard North Carolina Army National Guard,Yes,"Barrier, Wayne County, Ky","graduated from Wayne County High School, Monticello, Ky., 1955; attended Western Kentucky University, Bowling Green, Ky., 1956-1957; A.B., University of Kentucky, Lexington, Ky., 1962; LL.B., University of Kentucky, Lexington, Ky., 1964",
R000612,John,Rose,John Rose,2/23/65,60,"60 years, 7 months",1/3/19,80,6.67,"6 years, 8 months",John,,Rose,,John,,Rose,,,,,,"Cookeville, Putnam County, Tenn","graduated from Cookeville High School, Cookeville, Tenn., 1983; B.S., Tennessee Tech University, Cookeville, Tenn., 1988; M.S., Purdue University, West Lafayette, Ind., 1990; J.D., Vanderbilt University, Nashville, Tenn., 1993",
R000608,Jacky,Rosen,Jacky Rosen,8/2/57,68,"68 years, 2 months",1/3/19,80,6.67,"6 years, 8 months",Jacklyn,Sheryl,Rosen,,Jacklyn,Sheryl,Rosen,,,,,,"Chicago, Cook County, Ill","B.A., University of Minnesota, Minneapolis, Minn., 1979",
R000305,Deborah,Ross,Deborah Ross,6/20/63,62,"62 years, 3 months",1/3/21,56,4.67,"4 years, 8 months",Deborah,K.,Ross,,Deborah,K.,Ross,Ms.,,,,,"Philadelphia, Philadelphia County, Pa","A.B., Brown University, Providence, R.I., 1985; J.D., University of North Carolina, Chapel Hill, N.C., 1990",
R000605,Mike,Rounds,Mike Rounds,10/24/54,70,"70 years, 11 months",1/3/15,128,10.67,"10 years, 8 months",Marion,Michael,Rounds,Mike,Marion,Michael,Rounds,,,,,,"Huron, Beadle County, S. Dak","B.S., South Dakota State University, 1977",
R000603,David,Rouzer,David Rouzer,2/16/72,53,"53 years, 7 months",1/3/15,128,10.67,"10 years, 8 months",David,,Rouzer,,David,,Rouzer,,,,,,"Landstuhl Army Medical Center, Landstuhl, Germany","graduated from Northern High School, Durham, N.C., 1990; B.S., North Carolina State University, Raleigh, N.C., 1994",
R000614,Chip,Roy,Chip Roy,8/7/72,53,"53 years, 2 months",1/3/19,80,6.67,"6 years, 8 months",Charles,,Roy,Chip,Charles,,Roy,,,,,,"Bethesda, Montgomery County, Md","graduated from Loudon Valley High School, Purcellville, Va., 1990; B.S., University of Virginia, Charlottesville, Va., 1994; M.S., University of Virginia, Charlottesville, Va., 1995; J.D., University of Texas, Austin, Tex., 2003",
R000599,Raul,Ruiz,Raul Ruiz,8/25/72,53,"53 years, 1 months",1/3/13,152,12.67,"12 years, 8 months",Raul,,Ruiz,,Raul,,Ruiz,,,,,,"Zacatecas, Mexico","graduated from Coachella Valley High School, Coachella, Calif., 1990; B.S., University of California, Los Angeles, Calif., 1994; M.D., Harvard University, Cambridge, Mass., 2001; M.P.P., Harvard University, Cambridge, Mass., 2001; M.P.H., Harvard University, Cambridge, Mass., 2007; associate dean, University of California-Riverside School of Medicine, Riverside, Calif., 2011-2012",
R000619,Michael,Rulli,Michael Rulli,3/11/69,56,"56 years, 7 months",6/25/24,15,1.25,"1 year, 3 months",Michael,,Rulli,,Michael,,Rulli,,,,,,"Mahoning County, Ohio","graduated from Poland Seminary High School, Poland, Ohio; graduated from Emerson College, Boston, Mass., 1991; member of the Leetonia Exempted Village School District board of education, Leetonia, Ohio, 2009-2017",
R000609,John,Rutherford,John Rutherford,9/2/52,73,"73 years, 1 months",1/3/17,104,8.67,"8 years, 8 months",John,Henry,Rutherford,,John,Henry,Rutherford,,,,,,"Omaha, Douglas County, Nebr","graduated from Nathan Bedford Forrest High School, Jacksonville, Fla., 1970; attended Jacksonville Junior College, Jacksonville, Fla.; B.S., Florida State University, Tallahassee, Fla., 1974; graduated from Federal Bureau of Investigation National Academy, Quantico, Va.",
R000579,Pat,Ryan,Pat Ryan,3/28/82,43,"43 years, 6 months",9/13/22,36,3,3 years,Patrick,,Ryan,,Patrick,,Ryan,,,,Army,Yes,"Kingston, Ulster County, N.Y","graduated from Kingston High School, Kingston, N.Y., 2000; B.S., United States Military Academy, West Point, N.Y., 2004; M.A., Georgetown University, Washington, D.C., 2013",
S001156,Linda,Sánchez,Linda Sánchez,1/28/69,56,"56 years, 8 months",1/3/03,272,22.67,"22 years, 8 months",Linda,T.,Sanchez,,Linda,T.,Sanchez,,,,,,"Orange, Orange County, Calif","graduated from Valencia High School, Placentia, Calif., 1987; B.A., University of California, Berkeley, Calif., 1991; J.D., University of California, Los Angeles, Calif., 1995",
S000168,María Elvira,Salazar,María Elvira Salazar,11/1/61,63,"63 years, 11 months",1/3/21,56,4.67,"4 years, 8 months",Maria,Elvira,Salazar,,Maria,Elvira,Salazar,Ms.,,,,,"Miami, Miami-Dade County, Fla","graduated from the Deerborne School, Coral Gables, Fla., 1979; B.A., University of Miami, Coral Gables, Fla., 1983; M.P.A., Harvard University, Cambridge, Mass., 1995",
S001226,Andrea,Salinas,Andrea Salinas,12/6/69,55,"55 years, 10 months",1/3/23,32,2.67,"2 years, 8 months",Andrea,,Salinas,,Andrea,,Salinas,,,,,,"San Mateo, San Mateo County, Calif","B.A., University of California, Berkeley, Calif., 1994",
S000033,Bernie,Sanders,Bernie Sanders,9/8/41,84,"84 years, 1 months",1/3/07,224,18.67,"18 years, 8 months",Bernard,,Sanders,,Bernard,,Sanders,,,,,,"Brooklyn, Kings County, N.Y","graduated from Madison High School, Brooklyn, N.Y.; B.S., University of Chicago, Chicago, Ill., 1964; faculty, Harvard University, Cambridge, Mass., 1989; faculty, Hamilton College, Clinton, N.Y., 1990; chair, Committee on Veterans Affairs (One Hundred Thirteenth Congress), Committee on the Budget (One Hundred Seventeenth Congress), Committee on Health, Education, Labor, and Pensions (One Hundred Eighteenth Congress)",
S001176,Steve,Scalise,Steve Scalise,10/6/65,59,"60 years",5/3/08,208,17.33,"17 years, 4 months",Steve,,Scalise,,Steve,,Scalise,,,,,,"New Orleans, Orleans Parish, La","graduated from Archbishop Rummel High School, Metairie, La., 1983; B.S., Louisiana State University, Baton Rouge, La., 1989",
S001205,Mary Gay,Scanlon,Mary Gay Scanlon,8/30/59,66,"66 years, 1 months",11/13/18,82,6.83,"6 years, 10 months",Mary,Gay,Scanlon,,Mary,Gay,Scanlon,,,,,,"Syracuse, Onondaga County, N.Y","graduated from Watertown High School, Watertown, N.Y., 1976; B.A., Colgate University, Hamilton, N.Y., 1980; J.D., University of Pennsylvania, Philadelphia, Pa., 1984; judicial law clerk, superior court of Pennsylvania; <span class=""cf0"">member of the Wallingford-Swarthmore, Pa., school board, 2007-2015, president, 2009-2011; </span> attorney, Education Law Center of Pennsylvania, 1992-2001",
S001145,Jan,Schakowsky,Jan Schakowsky,5/26/44,81,"81 years, 4 months",1/3/99,320,26.67,"26 years, 8 months",Janice,D.,Schakowsky,,Janice,D.,Schakowsky,,,,,,"Chicago, Cook County, Ill","graduated from Sullivan High School, Chicago, Ill., 1962; B.S., University of Illinois, Urbana-Champaign, Ill., 1965",
S001194,Brian,Schatz,Brian Schatz,10/20/72,52,"52 years, 11 months",12/26/12,153,12.75,"12 years, 9 months",Brian,Emanuel,Schatz,,Brian,Emanuel,Schatz,,,,,,"Ann Arbor, Washtenaw County, Mich","attended Punahou School in Honolulu, Hawaii; B.A. Pomona College 1994",
S001150,Adam,Schiff,Adam Schiff,6/22/60,65,"65 years, 3 months",12/8/24,9,0.75,9 months,Adam,,Schiff,,Adam,,Schiff,,,,,,"Framingham, Middlesex County, Mass","graduated from Monte Vista High School, Danville, Calif., 1978; B.A., Stanford University, Stanford, Calif., 1982; J.D., Harvard University, Cambridge, Mass., 1985",
S001228,Derek,Schmidt,Derek Schmidt,1/23/68,57,"57 years, 8 months",1/3/25,8,0.67,8 months,Derek,,Schmidt,,Derek,,Schmidt,,,,,,"Independence, Montgomery County, Kans","graduated from Independence High School, Independence, Kansas, 1986; attended Independence Community College, Independence, Kans.; B.S., University of Kansas, Lawrence, Kans., 1990; M.A. University of Leicester; J.D., Georgetown University, Washington, DC, 1996; S.J.D., University of Kansas School of Law, Lawrence, Kansas, 2015",
S001227,Eric,Schmitt,Eric Schmitt,6/20/75,50,"50 years, 3 months",1/3/23,32,2.67,"2 years, 8 months",Eric,Stephen,Schmitt,,Eric,Stephen,Schmitt,,,,,,"Bridgeton, Mo","graduated De Smet Jesuit High School, St. Louis, Mo., 1993; B.A., political science, Truman State University, Kirksville, Mo., 1997; J.D., Saint Louis University School of Law, 2000",
S001190,Brad,Schneider,Brad Schneider,8/20/61,64,"64 years, 1 months",1/3/17,104,8.67,"8 years, 8 months",Brad,,Schneider,,Brad,,Schneider,,,,,,"Denver, Denver County, Colo","graduated from Cherry Creek High School, Denver, Colo., 1979; B.S., Northwestern University, Evanston, Ill., 1983; M.B.A., Northwestern University, Evanston, Ill., 1988",
S001221,Hillary,Scholten,Hillary Scholten,2/22/82,43,"43 years, 7 months",1/3/23,32,2.67,"2 years, 8 months",Hillary,,Scholten,,Hillary,,Scholten,,,,,,Michigan,"graduated from Unity Christian High School, Hudsonville, Mich., 2000; B.A., Gordon College, Wenham, Mass., 2004; J.D., University of Maryland School of Law, Baltimore, Md., 2011; law clerk, United States Court of Appeals, Second Circuit",
S001216,Kim,Schrier,Kim Schrier,8/23/68,57,"57 years, 1 months",1/3/19,80,6.67,"6 years, 8 months",Kim,,Schrier,,Kim,,Schrier,,,,,,"Los Angeles, Los Angeles County, Calif","graduated from Palisades High School, Pacific Palisades, Calif., 1986; B.A., University of California, Berkeley, Calif., 1991; M.D., University of California, Davis, Calif., 1997; pediatric residency, Lucile Packard Children's Hospital at Stanford University, Palo Alto, Calif., 2000",
W000797,Debbie Wasserman,Schultz,Debbie Wasserman Schultz,9/27/66,59,"59 years",1/3/05,248,20.67,"20 years, 8 months",Debbie,,Wasserman Schultz,,Debbie,,Wasserman Schultz,,,,,,"Forest Hills, Queens County, N.Y","graduated from Half Hollow Hills High School East, Dix Hills, N.Y., 1984; B.A., University of Florida, Gainesville, Fla., 1988; M.A., University of Florida, Gainesville, Fla., 1990",
S000148,Chuck,Schumer,Chuck Schumer,11/23/50,74,"74 years, 10 months",1/3/99,320,26.67,"26 years, 8 months",Charles,Ellis,Schumer,Chuck,Charles,Ellis,Schumer,,,,,,"Brooklyn, N.Y","attended the public schools; graduated from Madison High School, Brooklyn 1967; A.B., Harvard University 1971; J.D., Harvard Law School 1974",
S001183,David,Schweikert,David Schweikert,3/3/62,63,"63 years, 7 months",1/3/11,176,14.67,"14 years, 8 months",David,,Schweikert,,David,,Schweikert,,,,,,"Los Angeles, Los Angeles County, Calif","graduated from Saguaro High School, Scottsdale, Ariz., 1980; A.A., Scottsdale Community College, Scottsdale, Ariz., 1985; B.S., Arizona State University, Tempe, Ariz., 1988; M.B.A., Arizona State University, Tempe, Ariz., 2005",
S001217,Rick,Scott,Rick Scott,12/1/52,72,"72 years, 10 months",1/8/19,80,6.67,"6 years, 8 months",Richard,Lynn,Scott,Rick,Richard,Lynn,Scott,,,,,,"Bloomington, Ill","graduated North Kansas City High School, Kansas City, Mo., 1970; B.A., business administration, University of Missouri-Kansas City, 1975; J.D., Southern Methodist University, 1978",
S001184,Tim,Scott,Tim Scott,9/19/65,60,"60 years",1/2/13,152,12.67,"12 years, 8 months",Tim,,Scott,,Tim,,Scott,,,,,,"North Charleston, Charleston County, S.C","attended Presbyterian College, Clinton, S.C., 1983-1984; B.S., Charleston Southern University, Charleston, S.C., 1988",
S001189,Austin,Scott,Austin Scott,12/10/69,55,"55 years, 10 months",1/3/11,176,14.67,"14 years, 8 months",Austin,,Scott,,Austin,,Scott,,,,,,"Augusta, Richmond County, Ga","graduated from Tiftarea Academy, Chula, Ga., 1987; B.B.A., University of Georgia, Athens, Ga., 1993",
S001157,David,Scott,David Scott,6/27/45,80,"80 years, 3 months",1/3/03,272,22.67,"22 years, 8 months",David,,Scott,,David,,Scott,,,,,,"Aynor, Horry County, S.C","graduated from Campbell High School, Daytona Beach, Fla., 1963; B.A., Florida Agricultural and Mechanical University, Tallahassee, Fla., 1967; M.B.A., Wharton School of Finance, University of Pennsylvania, Philadelphia, Pa., 1969",
S000185,Bobby,Scott,Bobby Scott,4/30/47,78,"78 years, 5 months",1/3/93,392,32.67,"32 years, 8 months",Robert,C.,Scott,,Robert,C.,Scott,,,,Army Reserve Massachusetts National Guard,Yes,"Washington, D.C","graduated from Groton School, Groton, Mass., 1965; A.B., Harvard University, Cambridge, Mass., 1969; J.D., Boston College School of Law, Boston, Mass., 1973; chair, Committee on Education and Labor (One Hundred Sixteenth and One Hundred Seventeenth Congresses).",
S001224,Keith,Self,Keith Self,3/20/53,72,"72 years, 6 months",1/3/23,32,2.67,"2 years, 8 months",Keith,,Self,,Keith,,Self,,,,Army,Yes,"Philadelphia, Philadelphia County, Pa","graduated from Tascosa High School, Amarillo, Tex., 1971; B.S., United States Military Academy, West Point, N.Y., 1975; M.A., University of Southern California, Los Angeles, Calif., 1981; attended the United States Army Command and General Staff College, Leavenworth, Kans.",
S000250,Pete,Sessions,Pete Sessions,3/22/55,70,"70 years, 6 months",1/3/21,56,4.67,"4 years, 8 months",Pete,,Sessions,,Pete,,Sessions,,,,,,"Waco, McLennan County, Tex","graduated from Churchill High School, San Antonio, Tex., 1973; B.S., Southwestern University, Georgetown, Tex., 1978",
S001185,Terri,Sewell,Terri Sewell,1/1/65,60,"60 years, 9 months",1/3/11,176,14.67,"14 years, 8 months",Terri,,Sewell,,Terri,,Sewell,,,,,,"Huntsville, Madison County, Ala","graduated from Selma High School, Selma, Ala., 1982; A.B., Princeton University, Princeton, N.J., 1986; M.A., Oxford University, Oxford, England, 1988; J.D., Harvard University, Cambridge, Mass., 1992",
S001181,Jeanne,Shaheen,Jeanne Shaheen,1/28/47,78,"78 years, 8 months",1/3/09,200,16.67,"16 years, 8 months",Jeanne,,Shaheen,,Jeanne,,Shaheen,,,,,,"St. Charles, Mo","B.A., Shippensburg State College, Shippensburg, Penn., 1969; M.S.S., University of Mississippi, 1973",
S001232,Tim,Sheehy,Tim Sheehy,11/18/85,39,"39 years, 10 months",1/3/25,8,0.67,8 months,Timothy,Patrick,Sheehy,,Timothy,Patrick,Sheehy,,,,,,"Ramsey, Minn","graduated St. Paul Academy, St. Paul, Minn., 2004; B.S., United States Naval Academy, Annapolis, Md., 2008",
S000344,Brad,Sherman,Brad Sherman,10/24/54,70,"70 years, 11 months",1/3/97,344,28.67,"28 years, 8 months",Brad,,Sherman,,Brad,,Sherman,,,,,,"Los Angeles, Los Angeles County, Calif","graduated from Corona del Mar High School, Newport, Calif., 1971; B.A., University of California, Los Angeles, Calif., 1974; J.D., Harvard University, Cambridge, Mass., 1979",
S001207,Mikie,Sherrill,Mikie Sherrill,1/19/72,53,"53 years, 8 months",1/3/19,80,6.67,"6 years, 8 months",Mikie,,Sherrill,,Mikie,,Sherrill,,,,Navy,Yes,"Alexandria, Va","graduated from South Lakes High School, Reston, Va., 1990; B.S., United States Naval Academy, Annapolis, Md., 1994; M.Sc., London School of Economics and Political Science, London, England, 2003; J.D., Georgetown University, Washington, D.C., 2007",
S001229,Jefferson,Shreve,Jefferson Shreve,9/24/65,60,"60 years",1/3/25,8,0.67,8 months,Jefferson,,Shreve,,Jefferson,,Shreve,,,,,,"Indiana, September 1965","graduated from Silver Creek High School, Sellersburg, Ind., 1984; B.A., Indiana University, Bloomington, Ind., 1989; M.A., University of London, London, England, 1998; M.B.A., Purdue University, West Lafayette, Ind., 2003",
S001231,Lateefah,Simon,Lateefah Simon,1/29/77,48,"48 years, 8 months",1/3/25,8,0.67,8 months,Lateefah,,Simon,,Lateefah,,Simon,,,,,,"San Francisco, San Francisco County, Calif","B.A., Mills College, Oakland, Calif., 2009; M.P.A., University of San Francisco, San Francisco, Calif., 2022",
S001148,Mike,Simpson,Mike Simpson,9/8/50,75,"75 years, 1 months",1/3/99,320,26.67,"26 years, 8 months",Michael,K.,Simpson,,Michael,K.,Simpson,,,,,,"Burley, Cassia County, Idaho","graduated from Blackfoot High School, Blackfoot, Idaho, 1968; B.S., Utah State University, Logan, Utah, 1972; D.M.D., Washington University School of Dental Medicine, St. Louis, Mo., 1978",
S001208,Elissa,Slotkin,Elissa Slotkin,7/10/76,49,"49 years, 3 months",1/3/25,8,0.67,8 months,Elissa,,Slotkin,,Elissa,,Slotkin,,,,,,"New York, New York County, N.Y","A.B., Cornell University, Ithaca, N.Y., 1998; M.A., Columbia University, New York, N.Y., 2003",
S001203,Tina,Smith,Tina Smith,3/4/58,67,"67 years, 7 months",1/3/18,92,7.67,"7 years, 8 months",Tina,,Smith,,Tina,,Smith,,,,,,"Albuquerque, N.Mex","B.A., Stanford University, 1980; M.B.A., Dartmouth College, Tuck School of Business, 1984",
S001195,Jason,Smith,Jason Smith,6/16/80,45,"45 years, 3 months",6/4/13,147,12.25,"12 years, 3 months",Jason,,Smith,,Jason,,Smith,,,,,,"St. Louis, Mo., on June 16","graduated from Salem High School, Salem, Mo., 1998; B.S., University of Missouri, Columbia, Mo., 2001; J.D., Oklahoma City University School of Law, Oklahoma City, Oklahoma, 2004",
S001172,Adrian,Smith,Adrian Smith,12/19/70,54,"54 years, 9 months",1/3/07,224,18.67,"18 years, 8 months",Adrian,,Smith,,Adrian,,Smith,,,,,,"Scottsbluff, Scotts Bluff County, Nebr","graduated from Gering High School, Gering, Nebr., 1989; B.S., University of Nebraska, Lincoln, Nebr., 1993; education coordinator",
S000522,Chris,Smith,Chris Smith,3/4/53,72,"72 years, 7 months",1/3/81,536,44.67,"44 years, 8 months",Christopher,Henry,Smith,,Christopher,Henry,Smith,,,,,,"Rahway, Union County, N.J","graduated from St. Mary's High School, Perth Amboy, N.J., 1971; B.S., Trenton State College, Ewing, N.J., 1975; attended Worcester College, Worcester, England, 1974",
S000510,Adam,Smith,Adam Smith,6/15/65,60,"60 years, 4 months",1/3/97,344,28.67,"28 years, 8 months",Adam,,Smith,,Adam,,Smith,,,,,,"Washington, D.C","graduated from Tyee High School, Seattle, Wash., 1983; B.A., Fordham University, New York, N.Y., 1987; J.D., University of Washington, Seattle, Wash., 1990",
S001199,Lloyd,Smucker,Lloyd Smucker,1/23/64,61,"61 years, 8 months",1/3/17,104,8.67,"8 years, 8 months",Lloyd,K.,Smucker,,Lloyd,K.,Smucker,,,,,,"Lancaster, Lancaster County, Pa","attended Lebanon Valley College, Annville, Pa.; attended Franklin &amp; Marshall College, Lancaster, Pa., 1988-1991",
S001225,Eric,Sorensen,Eric Sorensen,3/18/76,49,"49 years, 6 months",1/3/23,32,2.67,"2 years, 8 months",Eric,,Sorensen,,Eric,,Sorensen,,,,,,"Rockford, Winnebago County, Ill","graduated from Boylan Central Catholic High School, Rockford, Ill., 1994; B.S., Northern Illinois University, DeKalb, Ill., 1999",
S001200,Darren,Soto,Darren Soto,2/25/78,47,"47 years, 7 months",1/3/17,104,8.67,"8 years, 8 months",Darren,Michael,Soto,,Darren,Michael,Soto,,,,,,"Ringwood, Passaic County, N.J","B.A., Rutgers College, New Brunswick , N.J., 2000; J.D., George Washington University, Washington, D.C., 2004",
S000929,Victoria,Spartz,Victoria Spartz,10/6/78,46,"47 years",1/3/21,56,4.67,"4 years, 8 months",Victoria,,Spartz,,Victoria,,Spartz,Mrs.,,,,,"Nosivka, Chernihiv Oblast, Ukraine","B.S., National University of Economics, Kyiv, Ukraine; M.B.A., National University of Economics, Kyiv, Ukraine, 2000; M.P.A, Indiana University Kelley School of Business, Bloomington, Ind. 2006; professor, Indiana University Kelley School of Business, 2013-2020",
S001218,Melanie,Stansbury,Melanie Stansbury,1/31/79,46,"46 years, 8 months",6/14/21,51,4.25,"4 years, 3 months",Melanie,,Stansbury,,Melanie,,Stansbury,,,,,,"Farmington, San Juan County, N. Mex","graduated from Cibola High School, Albuquerque, N. Mex., 1997; B.A., Saint Mary's College of California, Moraga, Calif., 2002; M.S., Cornell University, Ithaca, N.Y., 2007",
S001211,Greg,Stanton,Greg Stanton,3/8/70,55,"55 years, 7 months",1/3/19,80,6.67,"6 years, 8 months",Greg,,Stanton,,Greg,,Stanton,,,,,,"Long Island, N.Y","graduated from Cortez High School, Phoenix, Ariz. 1988; B.A., Marquette University, Milwaukee, Wis., 1992; J.D., University of Michigan, Ann Arbor, Mich., 1995",
S001212,Pete,Stauber,Pete Stauber,5/10/66,59,"59 years, 5 months",1/3/19,80,6.67,"6 years, 8 months",Peter,,Stauber,,Peter,,Stauber,,,,,,"Duluth, St. Louis County, Minn","graduated from Denfeld High School, Duluth, Minn., 1984; B.S., Lake Superior State University, Sault Sainte Marie, Mich., 1990",
S001196,Elise,Stefanik,Elise Stefanik,7/2/84,41,"41 years, 3 months",1/3/15,128,10.67,"10 years, 8 months",Elise,M.,Stefanik,,Elise,M.,Stefanik,,,,,,"Albany, Albany County, N.Y","graduated from Albany Academy for Girls, Albany, N.Y., 2002; A.B., Harvard University, Cambridge, Mass., 2006",
S001213,Bryan,Steil,Bryan Steil,3/3/81,44,"44 years, 7 months",1/3/19,80,6.67,"6 years, 8 months",Bryan,,Steil,,Bryan,,Steil,,,,,,"Janesville, Rock County, Wis","graduated from Joseph A. Craig High School, Janesville, Wis., 1999; B.S. Georgetown University, Washington, D.C., 2003; J.D., University of Wisconsin, Madison, Wis., 2007",
S001214,Greg,Steube,Greg Steube,5/19/78,47,"47 years, 4 months",1/3/19,80,6.67,"6 years, 8 months",W. ,Greg,Steube,,W. ,Greg,Steube,,,,Army,Yes,"Bradenton, Manatee County, Fla","graduated from Southeast High School, Bradenton, Fla., 1996; B.S., University of Florida, Gainesville, Fla., 2000; J.D., University of Florida, Gainesville, Fla., 2003",
S001215,Haley,Stevens,Haley Stevens,6/24/83,42,"42 years, 3 months",1/3/19,80,6.67,"6 years, 8 months",Haley,,Stevens,,Haley,,Stevens,,,,,,"Rochester Hills, Oakland County, Mich","graduated from Seaholm Maple High School, Birmingham, Mich., 2001; B.A., American University, Washington, D.C., 2005; M.A., American University, Washington, D.C., 2007",
S001159,Marilyn,Strickland,Marilyn Strickland,9/25/62,63,"63 years",1/3/21,56,4.67,"4 years, 8 months",Marilyn,,Strickland,,Marilyn,,Strickland,Ms.,,,,,"Seoul, South Korea","graduated from Mount Tahoma High School, Tacoma, Wash., 1980; B.A., University of Washington, Seattle, Wash., 1984; M.B.A., Clark Atlanta University, Atlanta, Ga., 1992",
S001220,Dale,Strong,Dale Strong,5/8/70,55,"55 years, 5 months",1/3/23,32,2.67,"2 years, 8 months",Dale,,Strong,,Dale,,Strong,,,,,,"Huntsville, Madison County, Ala","graduated from Sparkman High School, Harvest, Ala., 1988; B.S., Athens State University, Athens, Ala., 1992",
S001188,Marlin,Stutzman,Marlin Stutzman,8/31/76,49,"49 years, 1 months",1/3/25,8,0.67,8 months,Marlin,A.,Stutzman,,Marlin,A.,Stutzman,,,,,,"Sturgis, Saint Joseph County, Mich","graduated from Lake Area Christian High School, Sturgis, Mich., 1994; attended Trine State University, Angola, Ind.; attended Glen Oaks Community College, Centreville, Mich.",
